sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,cuenta,tipo,frecuencia
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4011,M,19,SOLTERO,1,4,2,1,19,7.5,2149,1.0,1.0,1.0,1.0,202201048,Verbal,1.0
4031,F,20,SOLTERO,1,4,1,1,21,8.7,1999,1.0,1.0,1.0,1.0,202201067,Psicológica,1.0
4031,F,20,SOLTERO,1,4,1,1,21,8.7,1999,1.0,1.0,1.0,1.0,202201067,Psicológica,1.0
4031,F,20,SOLTERO,1,4,1,1,21,8.7,1999,1.0,1.0,1.0,1.0,202201067,Psicológica,1.0
4031,F,20,SOLTERO,1,4,1,1,21,8.7,1999,1.0,1.0,1.0,1.0,202201067,Psicológica,1.0
4070,F,19,SOLTERO,8,4,1,1,21,9.0,1715,1.0,1.0,2.0,1.0,202238013,Psicológica,1.0
4071,F,19,SOLTERO,8,4,1,1,21,8.3,1963,1.0,1.0,1.0,1.0,202238014,Psicológica,1.0
4077,F,19,SOLTERO,5,4,1,1,21,9.5,1759,1.0,1.0,3.0,1.0,202216039,Psicológica,1.0
4078,F,20,SOLTERO,8,4,1,1,50,8.3,1702,1.0,1.0,2.0,1.0,202238021,"Física, Psicológica",2.0
4160,F,19,SOLTERO,3,4,1,1,22,8.0,2020,1.0,1.0,1.0,4.0,202217055,"Verbal, Física",2.0
4180,M,19,SOLTERO,6,4,1,1,8,8.0,2060,1.0,1.0,2.0,1.0,202221029,Psicológica,1.0
4196,M,19,SOLTERO,3,4,1,1,19,7.9,1697,1.0,1.0,1.0,1.0,202217083,Verbal,1.0
4230,M,19,SOLTERO,2,4,1,1,21,8.2,1977,1.0,1.0,2.0,1.0,202207008,Psicológica,1.0
4230,M,19,SOLTERO,2,4,1,1,21,8.2,1977,1.0,1.0,2.0,1.0,202207008,Psicológica,1.0
4230,M,19,SOLTERO,2,4,1,1,21,8.2,1977,1.0,1.0,2.0,1.0,202207008,Psicológica,1.0
4233,M,19,SOLTERO,2,4,1,1,1,9.1,1567,1.0,1.0,2.0,3.0,202207068,Física,1.0
